learning_rate,hidden_dim,batch_size,test_accuracy_gcn,test_precision_gcn,test_recall_gcn,test_accuracy_gin,test_precision_gin,test_recall_gin
0.0006,160,8,0.8846153846153846,0.8529411764705882,0.9666666666666667,0.8269230769230769,0.8888888888888888,0.8
0.0006,160,16,0.8269230769230769,0.92,0.7666666666666667,0.8269230769230769,0.8181818181818182,0.9
0.0006,160,24,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.7692307692307693,0.75,0.9
0.0006,160,32,0.8269230769230769,0.8888888888888888,0.8,0.8461538461538461,0.8666666666666667,0.8666666666666667
0.0004,64,8,0.8846153846153846,0.875,0.9333333333333333,0.8461538461538461,0.8666666666666667,0.8666666666666667
0.0004,64,16,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8076923076923077,0.8846153846153846,0.7666666666666667
0.0004,64,24,0.8653846153846154,0.8709677419354839,0.9,0.8269230769230769,0.8181818181818182,0.9
0.0004,64,32,0.8846153846153846,0.875,0.9333333333333333,0.8461538461538461,0.8666666666666667,0.8666666666666667
0.0004,96,8,0.8076923076923077,0.8571428571428571,0.8,0.75,0.84,0.7
0.0004,96,16,0.8461538461538461,0.84375,0.9,0.7884615384615384,0.9130434782608695,0.7
0.0004,96,24,0.8846153846153846,0.9,0.9,0.8653846153846154,0.896551724137931,0.8666666666666667
0.0004,96,32,0.8269230769230769,0.8620689655172413,0.8333333333333334,0.7884615384615384,0.7878787878787878,0.8666666666666667
0.0004,128,8,0.8846153846153846,0.875,0.9333333333333333,0.7884615384615384,0.8275862068965517,0.8
0.0004,128,16,0.8846153846153846,0.875,0.9333333333333333,0.5576923076923077,1.0,0.23333333333333334
0.0004,128,24,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8076923076923077,0.8333333333333334,0.8333333333333334
0.0004,128,32,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8461538461538461,0.8235294117647058,0.9333333333333333
0.0004,160,8,0.8653846153846154,0.8285714285714286,0.9666666666666667,0.6538461538461539,0.875,0.4666666666666667
0.0004,160,16,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8461538461538461,0.9230769230769231,0.8
0.0004,160,24,0.9038461538461539,0.9032258064516129,0.9333333333333333,0.8269230769230769,0.8620689655172413,0.8333333333333334
0.0004,160,32,0.8461538461538461,0.8235294117647058,0.9333333333333333,0.8076923076923077,0.8846153846153846,0.7666666666666667
0.0002,64,8,0.8653846153846154,0.8709677419354839,0.9,0.8461538461538461,0.8928571428571429,0.8333333333333334
0.0002,64,16,0.8461538461538461,0.8235294117647058,0.9333333333333333,0.8461538461538461,0.8666666666666667,0.8666666666666667
0.0002,64,24,0.9038461538461539,0.9310344827586207,0.9,0.7115384615384616,0.7586206896551724,0.7333333333333333
0.0002,64,32,0.8269230769230769,0.8620689655172413,0.8333333333333334,0.7884615384615384,0.8275862068965517,0.8
0.0002,96,8,0.8461538461538461,0.8235294117647058,0.9333333333333333,0.8461538461538461,0.8666666666666667,0.8666666666666667
0.0002,96,16,0.8846153846153846,0.875,0.9333333333333333,0.8461538461538461,0.84375,0.9
0.0002,96,24,0.9038461538461539,0.9032258064516129,0.9333333333333333,0.8076923076923077,0.9166666666666666,0.7333333333333333
0.0002,96,32,0.9038461538461539,0.9032258064516129,0.9333333333333333,0.8269230769230769,0.8387096774193549,0.8666666666666667
0.0002,128,8,0.8846153846153846,0.875,0.9333333333333333,0.8461538461538461,0.84375,0.9
0.0002,128,16,0.8846153846153846,0.875,0.9333333333333333,0.8461538461538461,0.8666666666666667,0.8666666666666667
0.0002,128,24,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8461538461538461,0.8928571428571429,0.8333333333333334
0.0002,128,32,0.9038461538461539,0.9032258064516129,0.9333333333333333,0.8461538461538461,0.84375,0.9
0.0002,160,8,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.6923076923076923,0.7692307692307693,0.6666666666666666
0.0002,160,16,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8653846153846154,0.8709677419354839,0.9
0.0002,160,24,0.8269230769230769,0.92,0.7666666666666667,0.8653846153846154,0.896551724137931,0.8666666666666667
0.0002,160,32,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8461538461538461,0.8666666666666667,0.8666666666666667
